ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	1.4	0.1	>=0.7_0.75	145	48	344	5	0	5	0.967	0.878	0.902	0.845	0.751	0.967	0.845	0.249	0.847
4.0_64.0	1.4	0.2	>=0.7_0.75	145	39	353	5	0	5	0.967	0.901	0.919	0.868	0.788	0.967	0.868	0.212	0.871
4.0_64.0	1.5	0.4	>=0.7_0.75	145	43	349	5	0	5	0.967	0.89	0.911	0.857	0.771	0.967	0.858	0.229	0.861
4.0_64.0	1.5	0.5	>=0.7_0.75	145	36	356	5	0	5	0.967	0.908	0.924	0.875	0.801	0.967	0.876	0.199	0.878
4.0_64.0	1.3	0.0	>=1.0     	73	12	125	2	0	2	0.973	0.912	0.934	0.885	0.859	0.973	0.912	0.141	0.885
4.0_64.0	1.4	0.0	>=1.0     	73	17	120	2	0	2	0.973	0.876	0.91	0.849	0.811	0.973	0.885	0.189	0.849
4.0_64.0	1.4	0.1	>=1.0     	73	15	122	2	0	2	0.973	0.891	0.92	0.864	0.83	0.973	0.896	0.17	0.864
4.0_64.0	1.4	0.2	>=1.0     	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
4.0_64.0	1.5	0.0	>=1.0     	73	17	120	2	0	2	0.973	0.876	0.91	0.849	0.811	0.973	0.885	0.189	0.849
4.0_64.0	1.5	0.1	>=1.0     	73	17	120	2	0	2	0.973	0.876	0.91	0.849	0.811	0.973	0.885	0.189	0.849
4.0_64.0	1.5	0.2	>=1.0     	73	16	121	2	0	2	0.973	0.883	0.915	0.856	0.82	0.973	0.89	0.18	0.856
4.0_64.0	1.5	0.3	>=1.0     	73	14	123	2	0	2	0.973	0.898	0.925	0.871	0.839	0.973	0.901	0.161	0.871
4.0_64.0	1.5	0.4	>=1.0     	73	12	125	2	0	2	0.973	0.912	0.934	0.885	0.859	0.973	0.912	0.141	0.885
4.0_64.0	1.5	0.5	>=1.0     	73	11	126	2	0	2	0.973	0.92	0.939	0.893	0.869	0.973	0.918	0.131	0.893
