ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
4.0_64.0	1.4	0.6	0.7_0.75  	67	14	241	8	0	8	0.893	0.945	0.933	0.838	0.827	0.893	0.859	0.173	0.838
4.0_64.0	1.5	0.4	0.7_0.75  	72	31	224	3	0	3	0.96	0.878	0.897	0.838	0.699	0.96	0.809	0.301	0.838
8.0_64.0	1.3	1.0	0.5       	50	10	409	8	0	8	0.862	0.976	0.962	0.838	0.833	0.862	0.847	0.167	0.838
8.0_64.0	1.4	0.0	0.7_0.75  	49	19	115	1	0	1	0.98	0.858	0.891	0.838	0.721	0.98	0.831	0.279	0.838
8.0_64.0	1.4	0.4	0.7_0.75  	46	11	123	4	0	4	0.92	0.918	0.918	0.838	0.807	0.92	0.86	0.193	0.838
8.0_64.0	1.5	0.3	0.7_0.75  	49	19	115	1	0	1	0.98	0.858	0.891	0.838	0.721	0.98	0.831	0.279	0.838
8.0_64.0	1.5	0.7	0.7_0.75  	46	11	123	4	0	4	0.92	0.918	0.918	0.838	0.807	0.92	0.86	0.193	0.838
8.0_64.0	1.1	0.1	0.5       	52	25	394	6	0	6	0.897	0.94	0.935	0.837	0.675	0.897	0.77	0.325	0.837
8.0_64.0	1.2	0.4	0.5       	52	25	394	6	0	6	0.897	0.94	0.935	0.837	0.675	0.897	0.77	0.325	0.837
4.0_64.0	1.5	0.2	0.7_0.75  	73	35	220	2	0	2	0.973	0.863	0.888	0.836	0.676	0.973	0.798	0.324	0.836
8.0_64.0	1.2	0.7	0.5       	50	11	408	8	0	8	0.862	0.974	0.96	0.836	0.82	0.862	0.84	0.18	0.836
4.0_64.0	1.5	1.0	1.0       	67	8	129	8	0	8	0.893	0.942	0.925	0.835	0.893	0.893	0.893	0.107	0.835
8.0_64.0	1.5	1.0	0.7_0.75  	44	6	128	6	0	6	0.88	0.955	0.935	0.835	0.88	0.88	0.88	0.12	0.835
4.0_64.0	0.8	0.0	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.8	0.1	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.8	0.2	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.8	0.3	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.9	0.1	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.9	0.2	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.9	0.3	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.9	0.4	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.9	0.5	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	0.9	0.6	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	1.0	0.6	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	1.0	0.7	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	1.0	0.8	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	1.0	0.9	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
4.0_64.0	1.1	1.0	1.0       	63	1	136	12	0	12	0.84	0.993	0.939	0.833	0.984	0.84	0.906	0.016	0.833
8.0_64.0	1.1	0.6	0.5       	49	5	414	9	0	9	0.845	0.988	0.971	0.833	0.907	0.845	0.875	0.093	0.833
8.0_64.0	1.3	0.6	0.5       	52	27	392	6	0	6	0.897	0.936	0.931	0.833	0.658	0.897	0.759	0.342	0.833
4.0_64.0	1.2	0.3	0.7_0.75  	65	9	246	10	0	10	0.867	0.965	0.942	0.832	0.878	0.867	0.872	0.122	0.832
4.0_64.0	1.1	0.4	1.0       	64	3	134	11	0	11	0.853	0.978	0.934	0.831	0.955	0.853	0.901	0.045	0.831
4.0_64.0	1.2	0.7	1.0       	64	3	134	11	0	11	0.853	0.978	0.934	0.831	0.955	0.853	0.901	0.045	0.831
4.0_64.0	1.3	1.0	1.0       	64	3	134	11	0	11	0.853	0.978	0.934	0.831	0.955	0.853	0.901	0.045	0.831
4.0_64.0	1.4	0.1	0.7_0.75  	72	33	222	3	0	3	0.96	0.871	0.891	0.831	0.686	0.96	0.8	0.314	0.831
8.0_64.0	1.1	0.4	0.5       	50	13	406	8	0	8	0.862	0.969	0.956	0.831	0.794	0.862	0.827	0.206	0.831
8.0_64.0	1.5	0.2	0.7_0.75  	49	20	114	1	0	1	0.98	0.851	0.886	0.831	0.71	0.98	0.823	0.29	0.831
8.0_64.0	1.2	0.3	0.5       	52	28	391	6	0	6	0.897	0.933	0.929	0.83	0.65	0.897	0.754	0.35	0.83
8.0_64.0	1.2	0.6	0.7_0.75  	43	4	130	7	0	7	0.86	0.97	0.94	0.83	0.915	0.86	0.887	0.085	0.83
8.0_64.0	1.3	0.9	0.7_0.75  	43	4	130	7	0	7	0.86	0.97	0.94	0.83	0.915	0.86	0.887	0.085	0.83
8.0_64.0	1.3	1.0	0.7_0.75  	43	4	130	7	0	7	0.86	0.97	0.94	0.83	0.915	0.86	0.887	0.085	0.83
8.0_64.0	1.3	0.9	0.5       	50	14	405	8	0	8	0.862	0.967	0.954	0.829	0.781	0.862	0.82	0.219	0.829
4.0_64.0	1.5	0.0	0.7_0.75  	73	37	218	2	0	2	0.973	0.855	0.882	0.828	0.664	0.973	0.789	0.336	0.828
4.0_64.0	1.5	0.1	0.7_0.75  	73	37	218	2	0	2	0.973	0.855	0.882	0.828	0.664	0.973	0.789	0.336	0.828
8.0_64.0	1.0	0.3	0.5       	49	7	412	9	0	9	0.845	0.983	0.966	0.828	0.875	0.845	0.86	0.125	0.828
8.0_64.0	1.4	0.7	0.7_0.75  	44	7	127	6	0	6	0.88	0.948	0.929	0.828	0.863	0.88	0.871	0.137	0.828
8.0_64.0	1.5	0.9	0.7_0.75  	44	7	127	6	0	6	0.88	0.948	0.929	0.828	0.863	0.88	0.871	0.137	0.828
8.0_64.0	0.8	0.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.8	0.1	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.8	0.2	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.8	0.3	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.8	0.4	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.1	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.2	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.3	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.4	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.5	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.6	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.7	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	0.9	0.8	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.1	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.2	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.3	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.4	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.5	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.6	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.7	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.8	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	0.9	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.0	1.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.2	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.3	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.4	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.5	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.6	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.7	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.8	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	0.9	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.1	1.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.2	0.2	1.0       	44	4	70	6	0	6	0.88	0.946	0.919	0.826	0.917	0.88	0.898	0.083	0.826
8.0_64.0	1.2	0.5	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.2	0.6	0.5       	50	15	404	8	0	8	0.862	0.964	0.952	0.826	0.769	0.862	0.813	0.231	0.826
8.0_64.0	1.2	0.6	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.2	0.7	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.2	0.8	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.2	0.9	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.2	1.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.3	0.4	1.0       	44	4	70	6	0	6	0.88	0.946	0.919	0.826	0.917	0.88	0.898	0.083	0.826
8.0_64.0	1.3	0.8	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.3	0.9	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.3	1.0	1.0       	42	1	73	8	0	8	0.84	0.986	0.927	0.826	0.977	0.84	0.903	0.023	0.826
8.0_64.0	1.4	0.2	0.7_0.75  	48	18	116	2	0	2	0.96	0.866	0.891	0.826	0.727	0.96	0.827	0.273	0.826
8.0_64.0	1.4	0.7	1.0       	44	4	70	6	0	6	0.88	0.946	0.919	0.826	0.917	0.88	0.898	0.083	0.826
8.0_64.0	1.5	0.9	1.0       	44	4	70	6	0	6	0.88	0.946	0.919	0.826	0.917	0.88	0.898	0.083	0.826
8.0_64.0	1.2	0.9	0.7_0.75  	42	2	132	8	0	8	0.84	0.985	0.946	0.825	0.955	0.84	0.894	0.045	0.825
